image_id,class_name,nombre_imagen,numero_imagen,carpeta_origen,imagen,clase_real,clase_real_patologo,clase_predicha_raw,clase_predicha,probabilidad,image_caption_blip_raw,image_caption_blip,caption_blip_util,blip_cues_json,class_prototype_morphology_json,class_prototype_caption,morphology_v2_json,caption_v2_vlm,hybrid_weak_caption,error_tipo,error_msg
BASOPHIL_123449,Basophil,BASOPHIL_123449.jpg,BASOPHIL_123449,basophil,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/basophil/BASOPHIL_123449.jpg,basophil,BASOPHIL,erythroblast,erythroblast,0.478185,A purple substance in a white background.,A purple substance in a white background.,0,{},"{""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","{""confidence"": {""cytoplasm_amount"": 0.95, ""cytoplasm_color"": 0.95, ""granulation"": 0.95, ""inclusions"": 0.95, ""nuclear_chromatin"": 0.95, ""nucleocytoplasmic_ratio"": 0.95, ""nucleoli"": 0.95, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.95, ""size"": 0.95, ""villi"": 0.95}, ""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.",,
BASOPHIL_490244,Basophil,BASOPHIL_490244.jpg,BASOPHIL_490244,basophil,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/basophil/BASOPHIL_490244.jpg,basophil,BASOPHIL,metamyelocyte,metamyelocyte,0.942688,A purple and white substance.,A purple and white substance.,0,{},"{""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","{""confidence"": {""cytoplasm_amount"": 0.95, ""cytoplasm_color"": 0.95, ""granulation"": 0.95, ""inclusions"": 0.95, ""nuclear_chromatin"": 0.95, ""nucleocytoplasmic_ratio"": 0.95, ""nucleoli"": 0.95, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.95, ""size"": 0.95, ""villi"": 0.95}, ""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.",,
BASOPHIL_568124,Basophil,BASOPHIL_568124.jpg,BASOPHIL_568124,basophil,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/basophil/BASOPHIL_568124.jpg,basophil,BASOPHIL,monocyte,monocyte,0.824514,Blood cells in purple and white.,Blood cells in purple and white.,0,{},"{""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","{""confidence"": {""cytoplasm_amount"": 0.95, ""cytoplasm_color"": 0.95, ""granulation"": 0.95, ""inclusions"": 0.95, ""nuclear_chromatin"": 0.95, ""nucleocytoplasmic_ratio"": 0.95, ""nucleoli"": 0.95, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.95, ""size"": 0.95, ""villi"": 0.95}, ""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""azurophilic"", ""granulation"": ""round basophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.","A Basophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus, condensed/heterogeneous chromatin, absent nucleoli, wide azurophilic cytoplasm, round basophilic granulation, absent inclusions, and absent villi.",,
EOSINOPHIL_840876,Eosinophil,EOSINOPHIL_840876.jpg,EOSINOPHIL_840876,eosinophil,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/eosinophil/EOSINOPHIL_840876.jpg,eosinophil,EOSINOPHIL,band,band,0.867245,A cell with purple and white dots.,A cell with purple and white dots.,0,{},"{""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""eosinophilic"", ""granulation"": ""round eosinophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""2"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Eosinophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus (2), condensed/heterogeneous chromatin, absent nucleoli, wide eosinophilic cytoplasm, round eosinophilic granulation, absent inclusions, and absent villi.","{""confidence"": {""cytoplasm_amount"": 0.95, ""cytoplasm_color"": 0.95, ""granulation"": 0.95, ""inclusions"": 0.95, ""nuclear_chromatin"": 0.95, ""nucleocytoplasmic_ratio"": 0.95, ""nucleoli"": 0.95, ""nucleus_segments"": 0.95, ""nucleus_shape"": 0.95, ""size"": 0.95, ""villi"": 0.95}, ""cytoplasm_amount"": ""wide"", ""cytoplasm_color"": ""eosinophilic"", ""granulation"": ""round eosinophilic"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""condensed/heterogeneous"", ""nucleocytoplasmic_ratio"": ""low"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""2"", ""nucleus_shape"": ""segmented"", ""size"": ""intermediate"", ""villi"": ""absent""}","A Eosinophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus (2), condensed/heterogeneous chromatin, absent nucleoli, wide eosinophilic cytoplasm, round eosinophilic granulation, absent inclusions, and absent villi.","A Eosinophil cell with intermediate size, low nucleocytoplasmic ratio, a segmented nucleus (2), condensed/heterogeneous chromatin, absent nucleoli, wide eosinophilic cytoplasm, round eosinophilic granulation, absent inclusions, and absent villi.",,
ERYTHROBLAST_62860,Monocyte,ERYTHROBLAST_62860.jpg,ERYTHROBLAST_62860,erythroblast,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/erythroblast/ERYTHROBLAST_62860.jpg,erythroblast,ERYTHROBLAST,monocyte,monocyte,0.981441,"A cell cell, showing the cell.","A cell cell, showing the cell.",0,{},"{""cytoplasm_amount"": ""moderate"", ""cytoplasm_color"": ""grayish"", ""granulation"": ""in fine sand"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""homogeneous/open/low condensed"", ""nucleocytoplasmic_ratio"": ""moderate"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""mononuclear"", ""nucleus_shape"": ""indented"", ""size"": ""high"", ""villi"": ""absent""}","A Monocyte cell with high size, moderate nucleocytoplasmic ratio, a indented nucleus (mononuclear), homogeneous/open/low condensed chromatin, absent nucleoli, moderate grayish cytoplasm, in fine sand granulation, absent inclusions, and absent villi.","{""confidence"": {""cytoplasm_amount"": 0.95, ""cytoplasm_color"": 0.95, ""granulation"": 0.95, ""inclusions"": 0.95, ""nuclear_chromatin"": 0.95, ""nucleocytoplasmic_ratio"": 0.95, ""nucleoli"": 0.95, ""nucleus_segments"": 0.95, ""nucleus_shape"": 0.95, ""size"": 0.95, ""villi"": 0.95}, ""cytoplasm_amount"": ""moderate"", ""cytoplasm_color"": ""grayish"", ""granulation"": ""in fine sand"", ""inclusions"": ""absent"", ""nuclear_chromatin"": ""homogeneous/open/low condensed"", ""nucleocytoplasmic_ratio"": ""moderate"", ""nucleoli"": ""absent"", ""nucleus_segments"": ""mononuclear"", ""nucleus_shape"": ""indented"", ""size"": ""high"", ""villi"": ""absent""}","A Monocyte cell with high size, moderate nucleocytoplasmic ratio, a indented nucleus (mononuclear), homogeneous/open/low condensed chromatin, absent nucleoli, moderate grayish cytoplasm, in fine sand granulation, absent inclusions, and absent villi.","A Monocyte cell with high size, moderate nucleocytoplasmic ratio, a indented nucleus (mononuclear), homogeneous/open/low condensed chromatin, absent nucleoli, moderate grayish cytoplasm, in fine sand granulation, absent inclusions, and absent villi.",,
ERYTHROBLAST_763526,Platelet,ERYTHROBLAST_763526.jpg,ERYTHROBLAST_763526,erythroblast,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/erythroblast/ERYTHROBLAST_763526.jpg,erythroblast,ERYTHROBLAST,platelet,platelet,0.691857,Blood cells in a blood vessel.,Blood cells in a blood vessel.,0,{},"{""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Platelet cell.,"{""confidence"": {""cytoplasm_amount"": 0.4, ""cytoplasm_color"": 0.4, ""granulation"": 0.4, ""inclusions"": 0.4, ""nuclear_chromatin"": 0.4, ""nucleocytoplasmic_ratio"": 0.4, ""nucleoli"": 0.4, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.4, ""size"": 0.4, ""villi"": 0.4}, ""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Platelet cell.,A Platelet cell.,,
METAMYELOCYTE_103005,Myelocyte,METAMYELOCYTE_103005.jpg,METAMYELOCYTE_103005,ig,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/ig/METAMYELOCYTE_103005.jpg,metamyelocyte,METAMYELOCYTE,myelocyte,myelocyte,0.981047,A purple circle with small white dots.,A purple circle with small white dots.,0,{},"{""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,"{""confidence"": {""cytoplasm_amount"": 0.4, ""cytoplasm_color"": 0.4, ""granulation"": 0.4, ""inclusions"": 0.4, ""nuclear_chromatin"": 0.4, ""nucleocytoplasmic_ratio"": 0.4, ""nucleoli"": 0.4, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.4, ""size"": 0.4, ""villi"": 0.4}, ""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,A Myelocyte cell.,,
METAMYELOCYTE_112837,Promyelocyte,METAMYELOCYTE_112837.jpg,METAMYELOCYTE_112837,ig,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/ig/METAMYELOCYTE_112837.jpg,metamyelocyte,METAMYELOCYTE,promyelocyte,promyelocyte,0.573782,A blue circle with white dots.,A blue circle with white dots.,0,{},"{""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Promyelocyte cell.,"{""confidence"": {""cytoplasm_amount"": 0.4, ""cytoplasm_color"": 0.4, ""granulation"": 0.4, ""inclusions"": 0.4, ""nuclear_chromatin"": 0.4, ""nucleocytoplasmic_ratio"": 0.4, ""nucleoli"": 0.4, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.4, ""size"": 0.4, ""villi"": 0.4}, ""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Promyelocyte cell.,A Promyelocyte cell.,,
METAMYELOCYTE_118767,Myelocyte,METAMYELOCYTE_118767.jpg,METAMYELOCYTE_118767,ig,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/ig/METAMYELOCYTE_118767.jpg,metamyelocyte,METAMYELOCYTE,myelocyte,myelocyte,0.7437,A purple and white substance.,A purple and white substance.,0,{},"{""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,"{""confidence"": {""cytoplasm_amount"": 0.4, ""cytoplasm_color"": 0.4, ""granulation"": 0.4, ""inclusions"": 0.4, ""nuclear_chromatin"": 0.4, ""nucleocytoplasmic_ratio"": 0.4, ""nucleoli"": 0.4, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.4, ""size"": 0.4, ""villi"": 0.4}, ""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,A Myelocyte cell.,,
METAMYELOCYTE_124175,Myelocyte,METAMYELOCYTE_124175.jpg,METAMYELOCYTE_124175,ig,/content/drive/MyDrive/TFM/blood-cell-vllm/imagenes/ig/METAMYELOCYTE_124175.jpg,metamyelocyte,METAMYELOCYTE,myelocyte,myelocyte,0.973872,Blood cells.,Blood cells.,0,{},"{""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,"{""confidence"": {""cytoplasm_amount"": 0.4, ""cytoplasm_color"": 0.4, ""granulation"": 0.4, ""inclusions"": 0.4, ""nuclear_chromatin"": 0.4, ""nucleocytoplasmic_ratio"": 0.4, ""nucleoli"": 0.4, ""nucleus_segments"": 0.4, ""nucleus_shape"": 0.4, ""size"": 0.4, ""villi"": 0.4}, ""cytoplasm_amount"": ""undefined"", ""cytoplasm_color"": ""undefined"", ""granulation"": ""undefined"", ""inclusions"": ""undefined"", ""nuclear_chromatin"": ""undefined"", ""nucleocytoplasmic_ratio"": ""undefined"", ""nucleoli"": ""undefined"", ""nucleus_segments"": ""undefined"", ""nucleus_shape"": ""undefined"", ""size"": ""undefined"", ""villi"": ""undefined""}",A Myelocyte cell.,A Myelocyte cell.,,
