,precision,recall,f1-score,support
basophil,0.9983566146261298,0.9975369458128078,0.997946611909651,1218.0
eosinophil,0.9983979493752002,0.9996791786974655,0.9990381532542482,3117.0
erythroblast,0.9980237154150198,0.9980237154150198,0.9980237154150198,1012.0
lymphocyte,0.9991755976916735,0.9983525535420099,0.9987639060568603,1214.0
monocyte,0.9909027291812457,0.9971830985915493,0.994032994032994,1420.0
platelet,0.9995742869306088,1.0,0.9997870981477539,2348.0
promyelocyte,0.9448275862068966,0.9256756756756757,0.9351535836177475,592.0
myelocyte,0.9413309982486865,0.9454705364995603,0.9433962264150944,1137.0
metamyelocyte,0.9417571569595261,0.9399014778325123,0.9408284023668639,1015.0
ig,1.0,1.0,1.0,151.0
band,0.957002457002457,0.9529051987767584,0.9549494330370825,1635.0
segmented,0.966626213592233,0.968978102189781,0.9678007290400972,1644.0
accuracy,0.981397321699085,0.981397321699085,0.981397321699085,0.981397321699085
macro avg,0.977997942102473,0.9769755402527617,0.977476737774451,16503.0
weighted avg,0.9813629972894056,0.981397321699085,0.9813747329470907,16503.0
